# Words farmers actually use, mapped to the word our database uses.
# The whole query is rewritten before searching, so "paddy" finds "rice".
# Format: alias | canonical
# ---- cereals and millets ----
pasupu|turmeric
manjal|turmeric
arishina|turmeric
halad|turmeric
holud|turmeric
chaha|tea
kaapi|coffee
koppi|coffee
kapi|coffee
jeedi mamidi|cashew
mundiri|cashew
godambi|cashew
# ---- everyday Telugu farming words ----
panta|crop
vyavasayam|farming
sagubadi|farming
mannu|soil
neellu|water
vittanalu|seed
eeku|irrigation
rogam|disease
purugu|pest
poka|pest
akku|leaf
veru|root
puvvu|flower
pandu|fruit
# ---- pest plurals ----
whiteflies|whitefly
aphids|aphid
