# FarmAssist pest database
# Format: name | affectedCrops | damage | control
# damage is written with the same symptom keywords as diseases.csv, so a farmer
# describing what they see can be matched to the pest that caused it.
coconut rhinoceros beetle|coconut|V shaped cuts on leaves,damaged unopened fronds,entry holes in crown|Remove and destroy breeding sites like dung heaps. Apply naphthalene balls in the crown and use pheromone traps.
red palm weevil|coconut|yellowing of inner leaves,oozing liquid from trunk,boring holes at the base,drying of crown|Remove and burn infested palms. Inject systemic insecticide in the trunk and use pheromone traps.
coconut mite|coconut|brown necrotic patches on young nuts,damaged nut surface,reduced nut size|Spray wettable sulphur on the buttons and release predatory mites.
banana aphid|banana|curling of leaves,sticky honey dew,spread of bunchy top virus|Spray dimethoate and remove infected plants with the corm. Control ants that protect the aphids.
banana weevil|banana|boring in corm,rotting of pseudostem,reduced bunch,yellowing of leaves|Use clean suckers treated in hot water. Trap adults in split pseudostem and remove infested plants.
pomegranate butterfly|pomegranate|holes in fruit,entry holes with excreta,rotting fruit|Remove infested fruit and spray cypermethrin at flowering. Keep the orchard clean.
citrus psylla|sweet orange|curling of tender leaves,leaf galling,sticky honey dew|Spray dimethoate on new flush. Remove infested shoots and conserve parasitoids.
leaf miner|tomato,brinjal,citrus,tea|serpentine tunnels in leaf,white wavy lines,leaf drying|Spray azadirachtin or imidacloprid. Remove and destroy mined leaves.
white grub|sugarcane,groundnut,maize|roots eaten,plant wilting,rootless plant,dead patches in field|Apply chlorpyrifos to the soil at planting. Deep plough in summer to expose the grubs.
termite|wheat,sugarcane,maize,groundnut|tunnels in stem,drying of plants,soil tubes on stem,plant pulled out easily|Treat seed and soil with chlorpyrifos or imidacloprid. Remove termite mounds from the field.
cutworm|tomato,chilli,cabbage,cauliflower,onion|seedlings cut at ground level,plant wilting,fallen seedlings|Deep plough and destroy weeds. Spray chlorpyrifos at the base of seedlings in the evening.
hairy caterpillar|groundnut,castor,sesame|caterpillars in groups,leaves eaten,defoliation,webbing on leaves|Spray chlorantraniliprole or dust the field with carbaryl. Collect and destroy the gregarious larvae.
red hairy caterpillar|groundnut,cotton|leaves eaten,defoliation,plants stripped|Deep summer ploughing and spraying chlorantraniliprole. Set light traps.
root knot nematode|okra,brinjal,tomato,banana|root galls,stunted growth,yellowing,wilting in hot sun|Use marigold as intercrop and neem cake in soil. Grow resistant varieties and solarise the nursery beds.
sucking pest complex|cotton,chilli,okra|yellowing,curling,stunted growth,sticky leaves|Regular monitoring and need based spray of imidacloprid. Conserve natural enemies.
mealybug|guava,papaya,sapota|white cottony masses on stem and fruit,stunted growth,sooty mould|Scrape off and spray fish oil rosin soap. Release lady bird beetles and prune infested parts.
shot hole borer|tea|small holes in stems,flagging branches,drying of branches|Prune and destroy infested branches. Maintain good shade and remove weak bushes.
coffee berry borer|coffee|holes at the tip of berries,damaged beans,berry fall|Pick all berries after harvest and use neem based sprays. Use traps and remove infested berries.
earhead bug|sorghum,pearl millet|chaffy grains,empty ear head,grains sucked|Spray carbaryl or malathion at grain filling. Grow tolerant varieties.
blister beetle|mango,pearl millet,groundnut|flower parts eaten,damaged inflorescence,no fruit set|Spray malathion in the evening and hand collect the beetles.
