# FarmAssist crop database
# Format: name | season | soil | waterNeed | N | P | K | commonDiseases | description | duration | temperature | rainfall | spacing | varieties | yield
# N P K are the recommended nutrient doses in kilograms per hectare.
# duration = days from sowing to harvest, temperature = optimum range in Celsius,
# rainfall = suitable annual range in mm, spacing = planting geometry in cm,
# varieties = common recommended cultivars, yield = typical range per hectare.
cauliflower|Rabi|Loamy|Medium|120|60|60|black rot,downy mildew,club root|Cauliflower forms a white curd that must be protected from sunlight by tying the outer leaves over it. Molybdenum deficiency causes whiptail where the leaf blade fails to develop properly.|100-140 days|15-20 C|600-800 mm|60x45 cm|Pusa Snowball-1,Pusa Himjyoti,Arka Kanchan|20-30 t/ha
carrot|Rabi|Sandy loam|Medium|60|40|60|leaf blight,powdery mildew,root rot|Carrot is a cool season root vegetable that needs deep loose stone free soil for straight roots. Fresh manure must never be applied because it causes forked and hairy roots.|90-110 days|15-22 C|500-700 mm|30x5 cm|Pusa Kesar,Pusa Yamdagini,Nantes|20-25 t/ha
radish|Rabi|Sandy loam|Medium|50|25|25|white rust,alternaria blight|Radish is a very quick root vegetable ready for harvest in only thirty to forty five days. Delayed harvest makes the root pithy and hot in taste so timely pulling is essential.|35-50 days|15-25 C|400-600 mm|30x8 cm|Pusa Chetki,Pusa Reshmi,Japanese White|15-20 t/ha
cucumber|Kharif|Sandy loam|Medium|60|40|40|downy mildew,powdery mildew,anthracnose|Cucumber is a summer vine crop trained on the ground or on a trellis for cleaner fruit. It is highly sensitive to frost and needs steady soil moisture to avoid bitter fruit.|70-90 days|20-30 C|700-1000 mm|90x45 cm|Pusa Uday,Poinsette,Japanese Long Green|15-20 t/ha
bottle gourd|Kharif|Sandy loam|Medium|60|40|40|downy mildew,anthracnose,mosaic|Bottle gourd is a vigorous climbing vine grown on pandals or trellises in kitchen gardens. Regular harvesting of tender fruit keeps the vine flowering for a longer period.|90-110 days|25-32 C|800-1200 mm|200x100 cm|Pusa Naveen,Pusa Summer Prolific,Arka Bahar|20-30 t/ha
bitter gourd|Kharif|Sandy loam|Medium|60|40|40|downy mildew,fusarium wilt,mosaic|Bitter gourd is a medicinal vine crop valued for controlling blood sugar. Trellis training improves fruit quality and reduces fruit rot caused by contact with wet soil.|90-110 days|22-32 C|800-1200 mm|150x60 cm|Pusa Vishesh,Pusa Do Mausami,Arka Harit|10-15 t/ha
pumpkin|Kharif|Sandy loam|Medium|60|40|40|powdery mildew,downy mildew,fruit fly damage|Pumpkin is a spreading vine crop whose mature fruit stores well for several months. It is often grown on river beds and field bunds where other crops cannot be planted.|90-110 days|22-32 C|600-900 mm|200x150 cm|Pusa Vikas,Arka Suryamukhi,CO-2|15-25 t/ha
spinach|Rabi|Loamy|Medium|60|30|30|downy mildew,leaf spot|Spinach is a quick growing leafy vegetable that gives several cuttings from one sowing. Frequent light irrigation keeps the leaves tender and prevents early bolting to seed.|30-45 days|15-25 C|400-600 mm|30x10 cm|Pusa Harit,Pusa Jyoti,All Green|8-12 t/ha
peas|Rabi|Loamy|Medium|25|60|40|powdery mildew,rust,wilt|Peas are a cool season legume vegetable grown for tender green pods and for dry seed. The crop fixes nitrogen and leaves the field in excellent condition for the next crop.|90-110 days|12-22 C|500-700 mm|30x5 cm|Arkel,Bonville,Pusa Pragati|8-10 t/ha
chilli|Kharif|Well drained loam|Medium|120|60|60|anthracnose,leaf curl,damping off,bacterial wilt|Chilli is a spice crop grown for both green and dry fruit. Thrips and mites cause the leaf curl complex which reduces yield heavily and regular picking encourages more flowering.|120-150 days|20-30 C|600-900 mm|60x45 cm|Pusa Jwala,G-4,Sannam|15-20 t/ha
capsicum|Rabi|Sandy loam|Medium|100|60|60|bacterial wilt,anthracnose,powdery mildew|Capsicum known as bell pepper is a mild non pungent vegetable grown mostly under polyhouse. Shade and steady moisture prevent sun scald on the exposed shoulders of the fruit.|120-150 days|18-28 C|600-900 mm|60x45 cm|California Wonder,Indra,Arka Mohini|20-25 t/ha
ginger|Kharif|Loamy|High|75|50|50|rhizome rot,bacterial wilt,leaf spot|Ginger is a rhizome spice crop of eight month duration that needs partial shade and heavy mulching. Well drained raised beds are essential because standing water quickly causes rhizome rot.|240-270 days|22-30 C|1200-1500 mm|25x20 cm|Rio de Janeiro,Varadaa,Maran|15-25 t/ha
turmeric|Kharif|Loamy|Medium|60|50|100|rhizome rot,leaf spot,leaf blotch|Turmeric is a rhizome spice crop of nine month duration used as a colouring and medicinal spice. Rhizomes are cured by boiling before drying and polishing for the market.|270-300 days|20-30 C|1200-1500 mm|25x25 cm|Pratibha,Alleppey Supreme,Suguna|20-30 t/ha
coriander|Rabi|Loamy|Low|40|30|20|wilt,powdery mildew,stem gall|Coriander is a rabi spice grown for both fresh leaves and dry seed. Splitting the seed before sowing improves germination and the crop needs cool dry weather at seed set.|90-120 days|15-25 C|500-700 mm|25x10 cm|Sindhu,Sujata,ACr-1|8-10 q/ha
cumin|Rabi|Sandy loam|Low|30|20|15|wilt,blight,powdery mildew|Cumin is a short duration rabi spice grown mainly in the dry regions of Gujarat and Rajasthan. Cloudy humid weather at flowering causes severe blight so a dry climate is essential.|90-110 days|15-25 C|250-350 mm|30x10 cm|GC-4,RZ-209,Gujarat Cumin-1|3-5 q/ha
fenugreek|Rabi|Loamy|Low|25|40|20|powdery mildew,downy mildew,root rot|Fenugreek known as methi is grown both as a leafy vegetable and for its aromatic seed. Being a legume it fixes nitrogen and needs only a small starter dose of fertilizer.|90-120 days|15-25 C|400-600 mm|25x10 cm|Pusa Early Bunching,Co-1,RMt-1|10-12 q/ha
banana|Annual|Rich loam|High|200|100|300|panama wilt,sigatoka leaf spot,bunchy top|Banana is a heavy feeder needing very high potassium for good bunch weight. Drip fertigation gives the best water use efficiency and propping supports the plant when the bunch develops.|360-450 days|20-35 C|1500-2500 mm|200x200 cm|Grand Naine,Robusta,Dwarf Cavendish,Poovan|40-70 t/ha
mango|Perennial|Deep loam|Medium|100|50|100|anthracnose,powdery mildew,malformation|Mango is the king of fruits grown as a perennial orchard tree that flowers in December and January. Pruning after harvest keeps the canopy open and improves light penetration and fruit quality.|4-5 years to bearing|24-30 C|750-1250 mm|1000x1000 cm|Alphonso,Dashehari,Kesar,Langra|10-15 t/ha
guava|Perennial|Loamy|Medium|100|60|100|wilt,anthracnose,fruit canker|Guava is a hardy fruit tree that bears two or three crops in a year. Crop regulation by withholding water forces the tree to give one good quality winter crop instead of three poor ones.|2-3 years to bearing|20-30 C|750-1250 mm|600x600 cm|Allahabad Safeda,L-49,Sardar|20-30 t/ha
papaya|Annual|Sandy loam|Medium|200|200|250|ring spot virus,collar rot,powdery mildew|Papaya is a fast growing fruit crop that starts bearing within ten months of planting. Only well drained soil suits it because even short water logging kills the plant by collar rot.|10-18 months|22-32 C|1000-1500 mm|180x180 cm|Pusa Delicious,Pusa Nanha,Taiwan-786|50-75 t/ha
grapes|Perennial|Well drained loam|Medium|300|150|300|downy mildew,powdery mildew,anthracnose|Grapes are a perennial vine crop trained on a bower or a Y trellis system. Annual pruning decides the entire crop so the timing and severity of pruning must be exactly right.|2-3 years to bearing|20-35 C|600-900 mm|300x300 cm|Thompson Seedless,Sharad Seedless,Anab-e-Shahi|25-40 t/ha
pomegranate|Perennial|Sandy loam|Low|150|75|75|bacterial blight,wilt,fruit spot|Pomegranate is a drought hardy fruit crop that thrives in hot dry climate with low humidity. Bacterial blight known as oily spot is the most serious problem and needs strict orchard sanitation.|2-3 years to bearing|25-35 C|500-700 mm|500x500 cm|Bhagwa,Ganesh,Mridula|15-25 t/ha
sweet orange|Perennial|Sandy loam|Medium|200|100|100|citrus canker,gummosis,greening|Sweet orange is a citrus fruit tree grown widely in central and southern India. It needs light well drained soil because heavy soil causes root rot and gummosis at the collar.|4-5 years to bearing|20-32 C|750-1250 mm|600x600 cm|Mosambi,Sathgudi,Valencia|20-30 t/ha
sapota|Perennial|Deep loam|Medium|150|75|150|leaf spot,sooty mould,fruit rot|Sapota known as chikoo is an evergreen fruit tree that bears almost throughout the year. The fruit is picked when the brown scurf rubs off easily and the milky latex has dried up.|4-5 years to bearing|20-32 C|750-1250 mm|1000x1000 cm|Kalipatti,Cricket Ball,Dwarapudi|25-35 t/ha
watermelon|Zaid|Sandy soil|Medium|80|40|40|fusarium wilt,anthracnose,downy mildew|Watermelon is a summer vine crop grown widely on sandy river beds. Withholding irrigation as the fruit ripens greatly improves the sugar content and the eating quality.|80-100 days|25-35 C|500-800 mm|200x50 cm|Sugar Baby,Arka Manik,Asahi Yamato|30-40 t/ha
coconut|Perennial|Sandy loam|High|100|50|150|bud rot,leaf rot,root wilt|Coconut is a perennial palm that yields nuts continuously once it starts bearing at six years. Basin irrigation with husk burial conserves moisture and improves nut yield in dry months.|6-8 years to bearing|25-32 C|1500-2500 mm|750x750 cm|West Coast Tall,East Coast Tall,Chowghat Green Dwarf|80-120 nuts per palm per year
black pepper|Perennial|Red laterite|High|100|40|140|quick wilt,slow decline,anthracnose|Black pepper is the king of spices grown as a climbing vine on live support trees. Good drainage is critical because quick wilt spreads rapidly in water logged soil during the monsoon.|3-4 years to bearing|22-32 C|1500-2500 mm|250x250 cm|Panniyur-1,Karimunda,Malabar|2-3 t/ha
cardamom|Perennial|Forest loam|High|75|75|150|rhizome rot,mosaic,capsule rot|Cardamom is the queen of spices grown under the shade of evergreen forest trees. It needs constant humidity and cool temperature so it is limited to high rainfall hill regions.|2-3 years to bearing|15-30 C|1500-2500 mm|200x200 cm|Njallani,IISR-1,Green Gold|150-250 kg/ha
tea|Perennial|Acidic loam|High|150|60|60|blister blight,red rust,root rot|Tea is a perennial plantation shrub kept pruned to a flat plucking table. Only the tender two leaves and a bud are plucked every seven to ten days for good quality made tea.|3-5 years to plucking|18-30 C|1500-2500 mm|120x75 cm|Assam,China,Clonal TV-1|1500-2500 kg/ha
coffee|Perennial|Red loam|Medium|120|90|120|leaf rust,black rot,berry disease|Coffee is a shade grown plantation crop of the southern hill regions. Blossom showers at the right time decide the entire crop so irrigation is given if the rains fail.|3-4 years to bearing|15-25 C|1500-2000 mm|250x250 cm|S-795,Chandragiri,Robusta|800-1200 kg/ha
cashew|Perennial|Laterite|Low|75|25|25|tea mosquito damage,anthracnose,dieback|Cashew is a hardy tree crop that grows on poor laterite soil where little else survives. The tea mosquito bug is its most serious pest and must be sprayed at flushing and flowering.|3-4 years to bearing|22-32 C|1000-2000 mm|750x750 cm|Vengurla-4,VRI-3,BPP-8|8-12 q/ha
