# FarmAssist article corpus - these are the documents that are searched
# Format: id | title | body
A40|Turmeric cultivation curing and polishing|Turmeric is a nine month rhizome crop planted with the first monsoon rains. Mulching immediately after planting conserves moisture and greatly improves germination. Rhizome rot shows yellowing of lower leaves with soft rotting rhizomes and needs metalaxyl drenching. The harvested rhizomes are cured by boiling in water until froth appears and a typical smell develops. Cured rhizomes are dried for ten days and then polished to give the bright market colour.
A41|Seed spices coriander cumin and fenugreek|Seed spices are rabi crops grown mainly in the dry regions of Gujarat and Rajasthan. Cumin is very sensitive to cloudy humid weather at flowering which causes severe blight. Coriander seed is split gently before sowing which improves germination noticeably. Fenugreek is a legume so it fixes nitrogen and needs only a small starter dose. All three crops need cool dry weather at seed set and suffer badly from unseasonal rain.
A42|Guava crop regulation for better fruit quality|Guava can bear two or three crops in a year but all of them will be small and poor. Crop regulation means withholding irrigation for a period to force the tree to drop one flowering. The remaining winter crop then gives large sweet fruit that fetches a much higher price. Wilt is the most serious disease and infected trees must be removed with the root system. Annual pruning of about thirty centimetres of the shoot tips encourages new bearing wood.
A43|Papaya cultivation and virus management|Papaya starts bearing within ten months of planting which makes it a very quick fruit crop. The soil must drain freely because even a short spell of water logging kills the plant by collar rot. Ring spot virus shows ring shaped spots on the fruit with yellow mottled leaves and oily streaks on the stem. The virus is spread by aphids so a tall barrier crop of maize around the field helps. Infected plants must be removed early because there is no cure once the plant is infected.
A44|Grape pruning and the annual production cycle|Grapes are trained on a bower or a Y trellis and the entire crop depends on correct pruning. Foundation pruning in April builds the canes and forward pruning in October brings the fruit. Downy mildew and powdery mildew are the two main diseases of the vine in humid weather. Bordeaux mixture and sulphur sprays at the right stages protect the developing bunches. Potassium is very important at berry development and is best supplied through fertigation.
A45|Pomegranate and the control of bacterial blight|Pomegranate is a drought hardy fruit crop that gives its best quality in hot dry low humidity climate. Bacterial blight known as oily spot shows dark oily water soaked spots on fruit and leaves. Strict orchard sanitation with removal of all infected fruit and twigs is the only reliable control. Streptocycline with copper oxychloride sprays reduce the spread during humid periods. Crop regulation lets the grower choose the season with the least rainfall for fruiting.
A46|Citrus orchard problems canker and gummosis|Citrus canker shows raised corky spots surrounded by a yellow halo on leaves twigs and fruit. Gummosis shows gum oozing from the trunk with cracking bark and yellowing leaves. Both problems get worse when water stagnates near the trunk during irrigation. Irrigating in a ring away from the trunk and scraping and pasting the affected bark help greatly. Pruning out infected twigs and spraying copper oxychloride keep the orchard healthy.
A47|Sapota cultivation and orchard care|Sapota known as chikoo is an evergreen tree that bears fruit almost throughout the year. The fruit is picked when the brown scurf rubs off easily and the milky latex has dried. Sooty mould forms a black coating on the leaves wherever sucking pests leave honey dew. Controlling the sucking pests removes the cause and the mould can be washed off with starch solution. The tree is hardy and tolerates a wide range of soils once it is established.
A48|Watermelon and summer season vine crops|Watermelon is a zaid crop grown widely on sandy river beds after the winter crop is harvested. Fusarium wilt shows yellowing on one side of the vine with brown discolouration inside the stem. Growing cucurbits in the same field year after year builds up the wilt fungus badly. Withholding irrigation as the fruit ripens raises the sugar content and improves the eating quality. The fruit is ready when the ground spot turns yellow and the thumping sound becomes dull.
A49|Coconut nutrition and basin management|Coconut is a perennial palm that starts bearing at about six years and then yields continuously. Each palm needs a generous annual dose of nitrogen phosphorus potassium and magnesium. Burying coconut husks in the basin holds moisture through the dry months and improves nut yield. Bud rot shows rotting of the central spindle leaf with a foul smell and needs immediate attention. Basin irrigation with mulching is the single most effective practice for raising nut yield.
A50|Black pepper cultivation and quick wilt|Black pepper is a climbing vine grown on live support trees in high rainfall regions. Quick wilt shows sudden yellowing of the vine with black lesions on the stem and heavy defoliation. Sharp drainage during the monsoon is the most important preventive measure against quick wilt. Drenching with potassium phosphonate before and after the monsoon protects the vine. Regular application of organic matter keeps the root zone healthy and disease free.
A51|Cardamom cultivation under forest shade|Cardamom is the queen of spices and grows under the shade of evergreen forest trees. It needs constant humidity and cool temperature which limits it to high rainfall hill regions. Shade regulation is important because too much shade reduces flowering and too little scorches the plant. Rhizome rot and capsule rot appear during the heaviest monsoon months and need good drainage. Capsules are harvested in several rounds as they reach full size but before they split.
A52|Tea plucking and blister blight control|Tea is a plantation shrub kept pruned to a flat plucking table for easy harvesting. Only the tender two leaves and a bud are plucked every seven to ten days for quality made tea. Blister blight shows translucent blisters on tender leaves with white powder on the lower side. Weekly copper oxychloride sprays through the wet monsoon months keep the disease under control. Tea needs acidic soil and regular nitrogen because the plucked leaf removes nutrients continuously.
A53|Coffee shade management and leaf rust|Coffee is grown under shade trees in the hill regions of southern India. Blossom showers at the right time decide the whole crop so irrigation is given when the rains fail. Leaf rust shows orange yellow powder on the lower leaf surface followed by heavy leaf fall. Bordeaux mixture sprayed before and after the monsoon controls the rust effectively. Correct shade keeps the plantation cool and reduces both pest pressure and moisture stress.
A54|Cashew cultivation on poor laterite soil|Cashew grows well on poor laterite soil where very few other crops can survive. The tea mosquito bug is the most serious pest and attacks the tender flush and the flower panicle. Two well timed sprays at flushing and at flowering protect almost the entire crop. Dieback shows drying of twigs from the tip downward and needs pruning well below the dry portion. Regular light pruning and orchard sanitation keep the tree productive for many years.
A55|Seed treatment before sowing|Seed treatment is the cheapest single practice that protects a crop from early diseases. Fungicides like carbendazim or thiram protect against seed borne and soil borne fungi. Biological agents like trichoderma give longer lasting protection and are safe for the soil. Legume seeds are also treated with rhizobium culture to improve nodulation and nitrogen fixation. The correct order is fungicide first then insecticide and the biological culture last.
A56|Weed management in field crops|Weeds compete with the crop for water nutrients light and space in the first forty days. This early period is called the critical period of crop weed competition and decides the yield. One hand weeding at twenty days followed by another at forty days is enough for most crops. Pre emergence herbicides applied to moist soil stop the weed seeds before they emerge. Mulching with crop residue suppresses weeds and conserves soil moisture at the same time.
A57|Safe storage of grain after harvest|Grain must be dried to below twelve percent moisture before it goes into storage. Wet grain heats up in the bag and develops mould and a musty smell within a few weeks. Storage bins and godowns should be cleaned and the cracks sealed before the new grain arrives. Neem leaves mixed with the grain and airtight storage bins reduce insect damage naturally. Regular inspection every month catches insect and moisture problems before they spread.
A58|Mulching to conserve soil moisture|Mulching means covering the soil surface with crop residue straw or plastic film. A mulched soil loses far less water to evaporation and stays cooler in the hot months. Organic mulches slowly decompose and add valuable organic matter to the soil. Plastic mulch is widely used in vegetable crops and also suppresses weeds very effectively. Mulching is especially valuable in dryland farming where every drop of moisture matters.
A59|Micronutrient deficiency symptoms and correction|Zinc deficiency in rice shows brown rusty spots on the older leaves with stunted growth. Iron deficiency shows yellowing between the veins of the youngest leaves while the veins stay green. Boron deficiency causes hollow stem in cabbage and empty seeds in sunflower. Soil application of zinc sulphate or a foliar micronutrient mixture corrects most deficiencies. A soil test before the season is the only reliable way to know which micronutrient is short.
A60|Biofertilizers and beneficial soil microbes|Biofertilizers are living cultures of useful microbes that improve nutrient supply to the crop. Rhizobium fixes nitrogen in pulses while azospirillum helps cereals like rice maize and sorghum. Phosphate solubilising bacteria release phosphorus that is locked up in the soil. These cultures cost very little and reduce the requirement of chemical fertilizer noticeably. They must be stored in a cool dark place and used before the expiry date printed on the packet.
A61|Rainwater harvesting on the farm|A farm pond collects runoff during heavy rain and stores it for one life saving irrigation. Even a single irrigation at the flowering stage can save a crop from complete failure. Contour bunds and check dams slow the runoff and recharge the open wells nearby. The stored water can also support fish culture and give an extra source of income. Water harvesting structures are supported by government subsidy in most rainfed districts.
A62|Safe and correct use of pesticides|Always read the label and use only the dose recommended for that crop and that pest. Wear full sleeves gloves and a mask and never spray against the direction of the wind. Follow the waiting period printed on the label before harvesting the sprayed crop. Never mix chemicals randomly because some combinations become harmful or lose effect completely. Empty containers must be broken and buried and never reused for storing water or food.
